Key,Description,Standard,pt-br,uk,ru
SAY.Minigame2.18.Ellie,,"{i}(Woah.. Miss wasn’t kidding when said there was more work to do. Okay, let’s take this one step at a time.)","{i}(Uau.. Dona não estava brincando quando disse que tinha mais trabalho a ser feito. Certo, vamos fazer isso com um passo de cada vez.)","{i}(Овва... Панна не жартувала, що сьогодні доведеться попрацювати більше. Гаразд, треба з чогось починати.)","{i}(Ух ты... Мисс не шутит, когда говорит, что работы еще много. Ладно, давай сделаем это шаг за шагом.)"
SAY.Minigame2.2.Ellie,,I feel like an actual maid now.,Agora me sinto como uma faxineira de verdade.,Тепер я почуваюся справжньою покоївкою.,Теперь я чувствую себя настоящей горничной.
SAY.Minigame2.3.Miss,,Would you prefer that?,Você preferiria ser uma?,Тобі таке подобається?,Тебе такое нравится?
SAY.Minigame2.4.Ellie,,"...No, it’s more cozy like this. Wah -- wait, not the crimes! I meant just having it be you and me, you know?","...Não, é mais agradável assim. Ahh... espera, não os crimes! Eu quis dizer por sermos só você e eu, sabe?","...Ні, просто так затишніше. А- -- стривайте, я не про злочини! Я мала на увазі бути разом із Вами, зрозуміли?","...Нет, так даже уютнее. Ах, подожди — не про преступления! Я имела в виду, что это просто ты и я, понимаешь?"
SAY.Minigame2.5.Miss,,Hahaha! You truly are precious. I think the same.,"Hahaha! Você, de fato, é uma pessoa amada. Eu penso o mesmo.",Ха-ха-ха! Ти безцінна. Я теж так думаю.,Ха ха ха. Ты безценная. Я тоже так думаю
SAY.Minigame2.23.Ellie,,{i}(I downright love working with Miss... she’s so nice and supportive.),{i}(Eu absolutamente amo trabalhar com a Dona... ela é tão legal e compreensiva.),{i}(Я просто обожнюю працювати з Панною... Вона дуже добра й завжди підтримає.),{i}(Мне чертовски нравится работать с Мисс... она такая милая и поддерживающая.)
SAY.Minigame2.7.Ellie,,I thought you said there wouldn’t be any more fixing windows today.,Eu achei que você tinha dito que não teríamos nenhuma janela para reparar hoje.,"Здається, Ви казали, що сьогодні не доведеться лагодити вікна.","Я думала, вы сказали, что сегодня больше не будем чинить окна."""
SAY.Minigame2.8.Miss,,"Hm? No, I said ‘not just broken glass.’{wc}You’re amazing at fixing glass, but the true art of cleaning can be found in the little things!","Hm? Não, eu disse ""não apenas vidro quebrado.""{wc}Você é incrível em reparar vidro, mas a verdadeira arte da arrumação pode ser encontrada nas pequenas coisas!","Гм? Ні, я сказала «більше, ніж просто бите скло»{wc}Ти чудова в ремонтуванні скла, проте справжнє мистецтво прибирання розкривається в дрібницях!","Хм? Нет, я сказала 'не только разбитое стекло'.{wc} Ты прекрасно справляешься с ремонтом стекол, но настоящее искусство уборки кроется в мелочах!"
SAY.Minigame2.11.Ellie,,{i}(Hopefully it doesn’t come undone again.){wc}(I’d hate to store my valuables here and have the handle break when I need to take them out...),"{i}(Espero que não desencaixe novamente.){wc}(Eu odiaria guardar minhas coisas valiosas aqui e, quando precisasse pegá-las, o puxador quebrasse...)","{i}(Маю надію, більше воно не відпаде.){wc}(Не хотіла би я зберігати свої цінності в шухляді й там же їх поховати...)","{i}(Надеюсь, это снова не сломается.){wc}(Не хотелось бы хранить свои ценности здесь, а потом, когда мне нужно их достать, ручка сломается...)"
SAY.Minigame2.13.Ellie,,"{i}As I put the cup back in place and move away, I notice Miss covering it with her body.{wc}Perhaps she wanted coffee? But I see her hand slip into a pocket in her dress and pull out a tiny bag with --","{i}Assim que coloco o copo de volta no lugar e me afasto percebo Dona cobrindo ele com seu corpo.{wc}Talvez ela quisesse café? Mas, então, eu vejo sua mão escorregar para dentro de um bolso no seu traje e pegar um saquinho com...","{i}Тільки-но я кладу стаканчик на місце й відходжу, то помічаю, як Панна обступає його.{wc}Може, вона хоче кави? Але вмить я бачу, як її рука сковзає в кишеню й дістає крихітний пакетик з --","{i}Когда я ставлю чашку на место и отхожу, замечаю, как Мисс накрывает её своим телом.{wc} Может, она хотела кофе? Но я вижу, как её рука проскальзывает в карман платья и вытаскивает маленький пакет с —"
SAY.Minigame2.24.Ellie,,"{i}Wait, our dress has pockets?!? No way, seriously?{wc}I reach my hand into the same place. {wi}There’s a tiny pocket!!!","{i}Espera aí, nossos trajes têm bolsos?!? Sem chance, sério?{wc}Eu coloco minha mão no mesmo lugar do traje. {wi}Tem um bolsinho!!!","{i}Стривайте, в наших сукнях є кишені?!? Не може бути, дійсно?{wc}Я засовую свою руку теж. {wi}А й справді, манюсінька кишеня!!!","{i}Подожди, у нашего платья есть карманы?!? Серьезно?{wc} Я тяну руку в то же место. {wi}Там правда маленький карман!!!"
SAY.Minigame2.17.Ellie,,The cord snapped when it fell off the drawer.{wc}The screen also is cracked beyond repair...,O cabo arrebentou quando ela caiu do móvel.{wc}A tela também não tem conserto...,Шнур обірвався з падінням.{wc}Екран також розбився вщент...,"Шнур порвался, когда он упал с ящика.{wc}Экран тоже разбит так, что его уже не починить..."
SAY.Minigame2.16.Miss,,Good thing I brought an extra TV!,Que bom que eu trouxe uma televisão reserva!,"Добре, що я принесла запасний телевізор!","Хорошо, что я принёсла запасной телевизор!"
SAY.Minigame2.25.Ellie,,..Huh!? You what?,..Hã!? Você o quê?,...Га?! Ви що?,"..Что!? Ты что, серьёзно?"
SAY.Minigame2.26.Miss,,It never hurts to be prepared for this.,Nunca é demais estar preparada para essas coisas.,Завжди добре бути до цього готовою.,Никогда не помешает быть готовым к такому.
SAY.Minigame2.27.Ellie,,"{i}(Woah, Miss is always so neat and prepared...)","{i}(Uau, Dona é sempre tão organizada e preparada...)","{i}(Овва, Панна така кмітлива й підготовлена...)","{i}(Ух ты, Мисс всегда такая аккуратная и подготовленная...)"
SAY.Minigame2.29.Ellie,,"{i}(I’m surprised this pillow is relatively untouched, given the tragic state of the TV and all.)","{i}(Estou surpresa que este travesseiro esteja praticamente intacto, se levarmos em conta o estado trágico da TV e tudo mais.)","{i}(Я здивована, що подушка майже в ідеальному стані, враховуючи телевізор та інші речі.)","(Я удивлена, что эта подушка почти не пострадала, учитывая трагичное состояние телевизора и всего остального.)"
SAY.Minigame2.31.Ellie,,"{i}(Ugh, I almost didn’t catch that! Cleaning really is in the little things...)","{i}(Ugh, quase não percebi isso! A arte da arrumação realmente está nas pequenas coisas...)","{i}(Ух, ледь не пропустила це! Прибирання справді розкривається в дрібницях...)","{i}(Ух, я почти это не заметила! Уборка действительно заключается в мелочах...)"
SAY.Minigame2.33.Ellie,,That was almost unnoticeable.,Isso estava quase imperceptível.,Цього було майже не помітно!,Это было почти не видно!
SAY.Minigame2.34.Miss,,What was?,O quê?,Ти про що?,Про что ты?
SAY.Minigame2.35.Ellie,,"The lampshade, tilted like two degrees.","A luminária, estava inclinada uns dois graus.","Абажур, він похилився на два градуси.","Абажур, наклонённый всего на два градуса."
