Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Minigame1.18.Ellie,,"Geez, this place looks like a mess. Granted, all of the places I’ve cleaned so far also looked like a mess.{wc}Where should we start? Hmm.. ","Caramba, esse lugar está uma bagunça. É sempre assim, todos os lugares que eu limpei até agora também estavam muito bagunçados.{wc}Por onde devo começar? Hmm...","Боже, який гармидер. Звісно, всі попередні місця, в яких я прибирала, виглядали не ліпше.{wc}Де би розпочати? Гм-м... ","Чёрт, здесь просто бардак. Хотя, все места, которые я чистила до этого, тоже были в таком же состоянии.{wc}С чего начнём? Хмм...",天啊！這邊還真看起來像是剛打過戰爭一樣。雖然我目前所有的工作地點都差不多髒亂就是了。{wc}我們該從哪裡開始嗎？
SAY.Minigame1.19.,,"{i}Try dragging the screen around, then clicking on things to clean them up.{wc}You can use the buttons in the top right or the scroll wheel to zoom in and out.{wc}Find all the places to clean up to fill the bar at the top!{/i}","{i}Tente arrastar a tela, então clique nas coisas para arrumá-las.{wc}Você pode usar os botões no canto superior direito ou a roda de rolagem do mouse para ampliar ou reduzir a imagem.{wc}Encontre todos os lugares que precisam ser arrumados para zerar o número no topo da tela!{/i}","{i}Спробуй поперетягувати екран, відтак тисни на речі, які треба виправити.{wc}Ти можеш використовувати кнопки у верхньому правому куті або коліщатко прокрутки, щоби збільшувати або зменшувати масштаб.{wc}Знайди всі місця, які треба прибрати, аби заповнити шкалу згори!{/i}","{i}Попробуй перемещать экран, затем щёлкать по предметам, чтобы их очистить.{wc}Ты можешь использовать кнопки в верхнем правом углу или колесико мыши, чтобы увеличивать и уменьшать масштаб.{wc}Найди все места, которые нужно очистить, чтобы заполнить шкалу сверху!{/i}",{i}操作方式：我們一起來清理這裡吧！請用滑鼠點擊髒亂的地方以清理它們。{wc}您可以將畫面拖動以尋找其他髒污，也可以利用滾輪縮放畫面。{wc}我們一起把這裡清理好，讓上方的量條填滿吧！{/i}
SAY.Minigame1.2.Ellie,,Why would the painting be tilted?,Por que a pintura estaria inclinada?,Чому це картина похилилася?,Почему картина наклонена?,為什麼畫框是歪的呢？
SAY.Minigame1.3.Miss,,"Probably a novice move, they might have bumped into the painting while attempting to open a drawer.{wc}Or they were searching for a secret safe?",Provavelmente foi um erro de principiante. Eles devem ter esbarrado na pintura enquanto tentavam abrir uma gaveta.{wc}Ou eles estavam procurando por um cofre secreto?,"Мабуть, ознака новачків. Вони могли задіти картину, коли намагалися відкрити шухляду.{wc}Або ж вони шукали прихований сейф?","Наверное, это ошибка новичка, могли случайно задеть картину, пытаясь открыть ящик.{wc}Или искали какой-то секретный сейф?",他們可能做事糊塗把畫框撞歪吧？{wc}還是他們是在想辦法於急忙之中找到保險箱？
SAY.Minigame1.4.Ellie,,A secret safe would be cool!,Um cofre secreto seria legal!,Прихований сейф -- звучить круто!,Секретный сейф — это было бы круто!,這裡是不是有藏著神秘保險箱等我尋寶？
SAY.Minigame1.5.Miss,,"Aww sweetheart, I’m pretty sure no one hides secret safes behind such easily removable paintings anymore.","Aww querida, tenho quase certeza de que ninguém mais esconde cofres secretos atrás de pinturas tão fáceis de tirar da parede.","О, люба, я впевнена, ніхто більше не ховає сейфи за такими картинами, що їх легко зняти.","Ой, дорогая, я почти уверена, что никто уже не прячет секретные сейфы за такими легко снимающимися картинами.",妳還真是可愛呢！我很確定不會有人想把保險箱藏在畫底下這麼容易找到的地方。
SAY.Minigame1.7.Ellie,,Why is this glass so easily broken?,Por que esse vidro é tão fácil de quebrar?,Чому це скло так легко розлетілося на друзки?,Почему это стекло так легко ломается?,這裡的玻璃都特別容易碎嗎？
SAY.Minigame1.8.Miss,,"Darling, I’m pretty sure they just brought a hammer.","Meu bem, estou certa de que eles trouxeram um martelo.","Люба, я гадаю, вони мали молот.","Дорогая, я уверена, что они просто принесли молоток.",寶貝，我相信他們可能「不慎」用鎚子把玻璃敲破的而已～
SAY.Minigame1.11.Ellie,,{i}(It’s such a mess...),{i}(Está tudo uma bagunça...),{i}(Такий безлад...),Такой беспорядок...,{i}（這裡真是一團亂）
SAY.Minigame1.14.Miss,,"Be careful, don’t touch any glass! You don’t want to get cut.","Tenha cuidado, não toque em nenhum pedaço de vidro! Você não quer acabar se cortando.","Обережно, не чіпай скалки! Можеш порізатися.","Будь осторожна, не трогай стекло! Не хочется пораниться.",清理玻璃的時候小心不要被碎片刺到啊！
SAY.Minigame1.13.Ellie,,"Ah! Yes, thank you!!","Ah! Sim, obrigada!!","А! Так, дякую!","Ох, да, спасибо!!",啊！謝謝妳！
SAY.Minigame1.17.Ellie,,This store should’ve had an alarm system.,Essa loja deveria ter um sistema de alarme.,У крамниці мала би бути сигналізаційна система.,В этом магазине должен был быть охранный сигнал.,這家店應該要有一個警報系統的。
SAY.Minigame1.16.Miss,,"They probably did, which is why we’re here!","Eles provavelmente tinham, e é por isso que estamos aqui!","Напевно, вона була, тому-то ми й тут!","Наверное, был, поэтому мы и здесь!",我們會在這裡不也是因為他們這兒有裝警報系統嗎？
CHARACTER.Miss,,Miss,Dona,Панна,Мисс,小姐
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли,艾莉
